Date	Open	High	Low	Close	Adj Close	Volume
4/1/2022	53.700001	55.099998	47.25	48.549999	47.707104	340031795
5/1/2022	48.549999	52.900002	46.5	52.099998	51.195469	408207935
6/1/2022	52.200001	52.75	48.200001	51.650002	50.753284	449943521
7/1/2022	50.900002	52.400002	47.349998	49.400002	48.542351	359147827
8/1/2022	49.25	52.599998	48	48.599998	47.756233	334835505
9/1/2022	48.400002	49.200001	39.799999	41.25	41.092529	476837818
10/1/2022	40.200001	43.200001	38.5	40.25	40.096348	496771416
11/1/2022	40.700001	47.650002	40.049999	47.25	47.069626	363363074
12/1/2022	47.599998	49.049999	46.25	48.549999	48.364662	291334724
1/1/2023	47.799999	58.5	47	57.950001	57.728779	406134647
2/1/2023	57.5	60.849998	55.5	59.299999	59.073624	440768700
3/1/2023	59.849998	60.400002	49.700001	52.650002	52.449013	520983279
3/30/2023	52.950001	53.950001	52.900002	53.799999	53.799999	14352833
						
